num,ID,sex,age,vocalname,AveFreqMax,VarFreqMax,AveFreqMin,VarFreqMin,AveDur,VarDur,
1,Juliana,Female,Adult,"""acc-song""",13506.60,21782553.40,569.09,50055.98,2.88,7204.48,
2,Calimeno,Male,Adult,"""acc-song""",16703.58,15230021.50,733.21,69047.42,5.34,8.39,
3,Chepe,Male,Juvenile,"""acc-song""",15414.77,18998990.85,732.36,79207.31,5.46,7.14,
4,Paulo,Male,Juvenile,"""acc-song""",13705.42,16530523.89,650.00,62161.34,4.37,4.27,
5,Juliana,Female,Adult,"""acc""",0.00,0.00,0.00,0.00,0.00,0.00,
6,Calimeno,Male,Adult,"""acc""",0.00,0.00,0.00,0.00,0.00,0.00,
7,Chepe,Male,Juvenile,"""acc""",12426.41,10931996.48,962.20,65663.38,1.46,2.46,
8,Paulo,Male,Juvenile,"""acc""",13528.57,20881165.30,966.53,101337.75,0.65,0.54,
9,Juliana,Female,Adult,"""des-scream""",0.00,0.00,0.00,0.00,0.00,0.00,
10,Calimeno,Male,Adult,"""des-scream""",0.00,0.00,0.00,0.00,0.00,0.00,
11,Chepe,Male,Juvenile,"""des-scream""",17557.52,19870947.76,1052.73,66647.84,3.22,4.11,
12,Paulo,Male,Juvenile,"""des-scream""",21643.43,1829324.09,771.21,71584.44,5.97,9.20,
13,Juliana,Female,Adult,"""scream-I""",19157.33,16296093.82,837.11,74500.35,0.27,0.01,
14,Calimeno,Male,Adult,"""scream-I""",13332.57,25513877.00,653.57,72588.36,0.13,0.00,
15,Chepe,Male,Juvenile,"""scream-I""",13935.77,17009411.93,665.78,19563.56,0.51,0.14,
16,Paulo,Male,Juvenile,"""scream-I""",17062.08,16483389.62,902.53,73430.50,0.19,0.01,
17,Juliana,Female,Adult,"""scream-II""",12011.58,27216826.50,725.17,120141.31,0.17,0.01,
18,Calimeno,Male,Adult,"""scream-II""",0.00,0.00,0.00,0.00,0.00,0.00,
19,Chepe,Male,Juvenile,"""scream-II""",10164.20,29555509.68,782.38,65521.45,0.17,0.01,
20,Paulo,Male,Juvenile,"""scream-II""",11582.64,34878122.32,760.24,25847.04,0.10,0.00,
21,Juliana,Female,Adult,"""iac""",15467.54,27934593.90,545.14,5479.26,0.13,0.00,
22,Calimeno,Male,Adult,"""iac""",0.00,0.00,0.00,0.00,0.00,0.00,
23,Chepe,Male,Juvenile,"""iac""",13480.85,212382.72,530.85,12287.72,0.22,0.00,
24,Paulo,Male,Juvenile,"""iac""",0.00,0.00,0.00,0.00,0.00,0.00,
25,Juliana,Female,Adult,"""ium""",6317.63,844379.33,1007.30,120691.33,0.09,0.00,
26,Calimeno,Male,Adult,"""ium""",0.00,0.00,0.00,0.00,0.00,0.00,
27,Chepe,Male,Juvenile,"""ium""",10815.77,14359978.55,978.91,107479.86,0.14,0.03,
28,Paulo,Male,Juvenile,"""ium""",9371.84,16024065.10,894.70,49624.07,0.10,0.01,
29,Juliana,Female,Adult,"""iup""",10790.43,16176145.28,792.29,113278.04,0.08,0.00,
30,Calimeno,Male,Adult,"""iup""",5715.00,178929.00,504.00,44100.00,0.07,0.00,
31,Chepe,Male,Juvenile,"""iup""",13078.34,28216909.38,959.13,114395.99,0.10,0.01,
32,Paulo,Male,Juvenile,"""iup""",10666.01,20269137.56,837.96,63190.28,0.07,0.00,
33,Juliana,Female,Adult,"""irrm""",0.00,0.00,0.00,0.00,0.00,0.00,
34,Calimeno,Male,Adult,"""irrm""",8832.80,15609280.45,395.61,3451.30,0.32,0.02,
35,Chepe,Male,Juvenile,"""irrm""",0.00,0.00,0.00,0.00,0.00,0.00,
36,Paulo,Male,Juvenile,"""irrm""",0.00,0.00,0.00,0.00,0.00,0.00,
37,Juliana,Female,Adult,"""scream-ago""",0.00,0.00,0.00,0.00,0.00,0.00,
38,Calimeno,Male,Adult,"""scream-ago""",0.00,0.00,0.00,0.00,0.00,0.00,
39,Chepe,Male,Juvenile,"""scream-ago""",17852.80,12236538.10,1531.81,231842.16,0.37,0.00,
40,Paulo,Male,Juvenile,"""scream-ago""",14814.15,951502.70,2469.85,8163.12,0.25,0.01,
41,Juliana,Female,Adult,"""aac-song""",0.00,0.00,0.00,0.00,0.00,0.00,
42,Calimeno,Male,Adult,"""aac-song""",0.00,0.00,0.00,0.00,0.00,0.00,
43,Chepe,Male,Juvenile,"""aac-song""",19898.77,13134152.37,873.87,81408.69,2.09,2.17,
44,Paulo,Male,Juvenile,"""aac-song""",19515.05,15382715.11,821.37,45391.43,1.06,1.02,
45,Juliana,Female,Adult,"""des-scream-con""",0.00,0.00,0.00,0.00,0.00,0.00,
46,Calimeno,Male,Adult,"""des-scream-con""",0.00,0.00,0.00,0.00,0.00,0.00,
47,Chepe,Male,Juvenile,"""des-scream-con""",20297.50,3372075.70,613.15,12103.91,7.53,2.10,
48,Paulo,Male,Juvenile,"""des-scream-con""",20297.50,3372075.70,613.15,12103.91,7.53,2.10,
